Latitude,Longitude,Manufacturer,Turbine,TurbineHubheight,Totalpower,CommisioningDate,durchmesser,turbinen id,Nennleistung
51.97778083,14.11095043,Vestas Deutschland GmbH,V112/3300,140,3300,2014,112,V112/3300,3300
50.30916739,11.71615169,ENERCON GmbH,E101/3000,149,3050,2014,101,E101/3000,3000
52.76154474,11.71367185,ENERCON GmbH,E82/2300,138,2300,2014,82,E82/2300,2300
51.97443476,14.09784079,Vestas Deutschland GmbH,V112/3300,140,3300,2014,112,V112/3300,3300
51.9844144,14.12178421,Vestas Deutschland GmbH,V112/3300,140,3300,2014,112,V112/3300,3300
51.98134007,14.12188802,Vestas Deutschland GmbH,V112/3300,140,3300,2014,112,V112/3300,3300
51.97559452,14.11961228,Vestas Deutschland GmbH,V112/3300,140,3300,2014,112,V112/3300,3300
48.19091083,11.17458741,ENERCON GmbH,E101/3000,135,3050,2014,101,E101/3000,3000
51.97474025,14.11197149,Vestas Deutschland GmbH,V112/3300,140,3300,2014,112,V112/3300,3300
51.97822906,14.09622146,Vestas Deutschland GmbH,V112/3300,140,3300,2014,112,V112/3300,3300
49.47180097,7.80698718,Vestas Deutschland GmbH,V112/3000,140,3075,2014,112,V112/3000,3000
54.19581224,13.16448553,Vestas Deutschland GmbH,V90/2000,105,2000,2014,90,V90/2000,2000
50.07957613,7.472659058,Vestas Deutschland GmbH,V112/3000,140,3075,2014,112,V112/3000,3000
49.46990872,7.816222094,Vestas Deutschland GmbH,V112/3000,140,3075,2014,112,V112/3000,3000
50.36919141,11.87959853,ENERCON GmbH,E101/3000,135.4,3050,2014,101,E101/3000,3000
52.21826459,7.583154397,GE Wind Energy GmbH,2.5-120,139,2530,2014,120,2.5-120,2530
49.47580874,7.814631052,Vestas Deutschland GmbH,V112/3000,140,3075,2014,112,V112/3000,3000
53.03638262,7.932694535,ENERCON GmbH,E101/3000,135.4,3050,2014,101,E101/3000,3000
51.96066583,13.77372912,Vestas Deutschland GmbH,V112/3000,140,3300,2014,112,V112/3000,3000
50.07860942,7.466987079,Vestas Deutschland GmbH,V112/3000,140,3075,2014,112,V112/3000,3000
50.36470285,11.87774071,ENERCON GmbH,E101/3000,149,3050,2014,101,E101/3000,3000
54.72827692,9.13814684,ENERCON GmbH,E101/3000,99,3050,2014,101,E101/3000,3000
53.65048158,7.520671329,ENERCON GmbH,E70/2000,64,2300,2014,70,E70/2000,2050
54.07079796,9.253261932,Senvion Deutschland GmbH,3.4M104,80,3400,2014,104,3.4M104,3400
54.73100916,9.138963323,ENERCON GmbH,E101/3000,99,3050,2014,101,E101/3000,3000
54.7263062,9.129153807,ENERCON GmbH,E101/3000,99,3050,2014,101,E101/3000,3000
50.14578827,11.75510708,ENERCON GmbH,E92/2350,138.4,2350,2014,92,E92/2350,2350
50.1413831,11.74561709,ENERCON GmbH,E92/2350,138.4,2350,2014,92,E92/2350,2350
54.73347665,9.123122194,ENERCON GmbH,E101/3000,99,3050,2014,101,E101/3000,3000
54.72737515,9.302912547,Senvion Deutschland GmbH,3.2M114,93,3170,2014,114,3.2M114,3200
53.14078627,12.1316154,Vestas Deutschland GmbH,V90/2000,105,2000,2014,90,V90/2000,2000
50.15270939,11.76186232,ENERCON GmbH,E92/2350,138.4,2350,2014,92,E92/2350,2350
50.14340503,11.74622916,ENERCON GmbH,E92/2350,138.4,2350,2014,92,E92/2350,2350
54.10672927,9.269020306,Vestas Deutschland GmbH,V112/3000,119,3300,2014,112,V112/3000,3000
54.20267914,9.309625904,Vestas Deutschland GmbH,V112/3300,94,3300,2014,112,V112/3300,3300
54.73187274,9.130459626,ENERCON GmbH,E101/3000,99,3050,2014,101,E101/3000,3000
54.7307802,9.145264812,ENERCON GmbH,E101/3000,99,3050,2014,101,E101/3000,3000
52.75589965,11.70183051,ENERCON GmbH,E82/2300,138,2300,2014,82,E82/2300,2300
54.72916101,9.130357706,ENERCON GmbH,E101/3000,99,3050,2014,101,E101/3000,3000
54.73426225,9.130498441,ENERCON GmbH,E101/3000,99,3050,2014,101,E101/3000,3000
