Date,Latitude,Longitude,value
2016,51.5,6.75,6.8
2016,51.5,7,7.1
2016,51.5,7.25,7.4
2016,51.5,7.5,7.6
2016,51.5,7.75,7.7
2016,51.5,8,7.1
2016,51.5,8.25,7.1
2016,51.5,8.5,6.7
2016,51.5,8.75,5.8
2016,51.5,9,5.2
2016,51.5,9.25,5
2016,51.5,9.5,4.3
2016,51.5,9.75,5.1
2016,51.5,10,4.8
2016,51.5,10.25,5.1
2016,51.5,10.5,4.5
2016,51.5,10.75,2.9
2016,51.5,11,3.8
2016,51.5,11.25,4.4
2016,51.5,11.5,7.1
2016,51.5,11.75,7.7
2016,51.5,12,6.9
2016,51.5,12.25,7.3
2016,51.5,12.5,7.4
2016,51.5,12.75,6.7
2016,51.5,13,7.2
2016,51.5,13.25,6.7
2016,51.5,13.5,5.9
2016,51.5,13.75,6.1
2016,51.5,14,6.5
2016,51.5,14.25,6.7
2016,51.5,14.5,6.4
2016,51.5,14.75,5.9
2016,51.5,15,5.8
2016,51.5,15.25,6.2
2016,51.5,15.5,5.6
2016,51.25,5.5,8.2
2016,51.25,5.75,7.9
2016,51.25,6,8
2016,51.25,6.25,8.7
2016,51.25,6.5,7.4
2016,51.25,6.75,5.8
2016,51.25,7,6.7
2016,51.25,7.25,7
2016,51.25,7.5,7.3
2016,51.25,7.75,5.1
2016,51.25,8,4.8
2016,51.25,8.25,4.9
2016,51.25,8.5,4.8
2016,51.25,8.75,4.2
2016,51.25,9,5.9
2016,51.25,9.25,3.5
2016,51.25,9.5,5.2
2016,51.25,9.75,4
2016,51.25,10,2.1
2016,51.25,10.25,4.7
2016,51.25,10.5,3.9
2016,51.25,10.75,6.1
2016,51.25,11,6.8
2016,51.25,11.25,5.4
2016,51.25,11.5,6.7
2016,51.25,11.75,6.7
2016,51.25,12,6.9
2016,51.25,12.25,7.2
2016,51.25,12.5,5.9
2016,51.25,12.75,6.1
2016,51.25,13,7.4
2016,51.25,13.25,7.4
2016,51.25,13.5,7
2016,51.25,13.75,6.9
2016,51.25,14,7.2
2016,51.25,14.25,7
2016,51.25,14.5,6.2
2016,51.25,14.75,6.1
2016,51.25,15,5.2
2016,51.25,15.25,5.4
2016,51.25,15.5,5.9
2016,51,5.5,8
2016,51,5.75,8.4
2016,51,6,8.8
2016,51,6.25,8.5
2016,51,6.5,7
2016,51,6.75,7.7
2016,51,7,4.5
2016,51,7.25,5.8
2016,51,7.5,3.7
2016,51,7.75,5.2
2016,51,8,3.4
2016,51,8.25,4.8
2016,51,8.5,4
2016,51,8.75,4
2016,51,9,4.3
2016,51,9.25,6
2016,51,9.5,5.6
2016,51,9.75,3.5
2016,51,10,5
2016,51,10.25,5.9
2016,51,10.5,5.3
2016,51,10.75,6.3
2016,51,11,6
2016,51,11.25,6
2016,51,11.5,6
2016,51,11.75,5.7
2016,51,12,6.9
2016,51,12.25,7
2016,51,12.5,5.4
2016,51,12.75,6.4
2016,51,13,6.3
2016,51,13.25,6.2
2016,51,13.5,7.1
2016,51,13.75,5.6
2016,51,14,4.3
2016,51,14.25,4.8
2016,51,14.5,4.9
2016,51,14.75,4.9
2016,51,15,3.4
2016,51,15.25,4.7
2016,51,15.5,5.6
2016,50.75,5.5,8.6
2016,50.75,5.75,9
2016,50.75,6,8.7
2016,50.75,6.25,8.9
