LAT,LON,01.01.2010,02.01.2010,03.01.2010,04.01.2010,05.01.2010,06.01.2010,07.01.2010,08.01.2010,09.01.2010,10.01.2010,11.01.2010,12.01.2010,13.01.2010,14.01.2010,15.01.2010,16.01.2010,17.01.2010,18.01.2010,19.01.2010,20.01.2010,21.01.2010,22.01.2010,23.01.2010,24.01.2010,25.01.2010,26.01.2010,27.01.2010,28.01.2010,29.01.2010,30.01.2010,31.01.2010
54.5,30,2.835322,4.784032,4.130579,5.011625,5.537964,7.448904,5.748929,3.118466,5.962076,8.743367,6.404253,3.041877,3.089197,2.795881,2.489138,3.834231,5.454509,5.700098,5.295498,5.71034,6.093723,4.62056,3.375662,3.591534,3.799596,3.032351,4.222968,9.031657,7.564647,7.455049,5.279532
54.5,30.5,2.76354,4.894921,4.257486,4.798604,5.470472,7.262345,5.911272,3.177553,5.723954,8.568574,6.322455,3.002132,3.086104,2.748566,2.504099,3.861964,5.218596,5.571779,5.211377,5.710041,6.105989,4.672879,3.402642,3.601788,3.696923,3.10593,4.328706,8.751226,7.580891,7.274512,5.544917
54.5,31,2.659703,4.910635,4.233462,4.584347,5.27386,6.868509,5.96998,3.17935,5.413326,8.281836,6.143099,2.886868,3.018357,2.627649,2.42048,3.784805,4.852654,5.281389,5.033898,5.598607,6.039186,4.617138,3.388619,3.587471,3.555669,3.123422,4.302418,8.331749,7.446178,6.842229,5.693353
54.5,31.5,2.557966,4.929029,4.213886,4.373699,5.079514,6.47722,6.085929,3.18433,5.105261,7.995153,5.965108,2.777705,2.953466,2.509924,2.344745,3.712432,4.486995,4.994286,4.862958,5.490461,5.9737,4.569791,3.376637,3.575646,3.421685,3.16026,4.290367,7.916633,7.324153,6.412652,5.849347
54.5,32,2.46931,4.943365,4.228057,4.339659,4.914005,6.123645,6.105793,3.166167,4.870031,7.715274,5.787769,2.670063,2.867244,2.362454,2.261604,3.693427,4.263355,4.834426,4.742816,5.38021,5.947358,4.498241,3.388223,3.555963,3.400017,3.095465,4.148689,7.707745,7.067824,6.053855,5.836542
54.5,32.5,2.386328,4.958343,4.24448,4.315596,4.754204,5.777434,6.175667,3.157829,4.641066,7.435706,5.611154,2.568068,2.783892,2.215793,2.186659,3.676225,4.03999,4.67622,4.626941,5.271028,5.921707,4.433257,3.40264,3.537765,3.382054,3.041247,4.014258,7.502497,6.815254,5.697127,5.826623
54.5,33,2.230421,5.035166,4.314403,4.257652,4.63994,5.570008,6.333555,3.225146,4.416852,7.151103,5.422658,2.455131,2.72059,2.064934,2.113859,3.681579,3.867164,4.496967,4.506803,5.215992,5.924401,4.447425,3.467723,3.580099,3.318072,2.94392,3.880038,7.297251,6.616798,5.447219,5.933236
54.5,33.5,2.073149,5.133235,4.403032,4.197231,4.548122,5.414749,6.570159,3.35389,4.218729,6.865602,5.23177,2.342776,2.676563,1.922442,2.051481,3.694658,3.712346,4.310879,4.387673,5.180081,5.937952,4.497232,3.552227,3.645177,3.257988,2.842666,3.752344,7.091444,6.442749,5.237442,6.080876
54.5,34,1.95171,5.356773,4.616276,4.238014,4.542236,5.369591,6.980808,3.569016,4.08728,6.686327,5.10707,2.209358,2.672311,1.794712,1.970798,3.704871,3.629347,4.18118,4.298853,5.206384,6.022008,4.591311,3.664312,3.746727,3.160952,2.704522,3.68562,6.964223,6.428808,5.078777,6.327586
54.5,34.5,1.920336,5.706553,4.953999,4.379689,4.62048,5.439234,7.553796,3.875822,4.015768,6.614049,5.048145,2.057947,2.715582,1.684348,1.879477,3.715567,3.625746,4.109882,4.23799,5.294996,6.176562,4.730784,3.804381,3.886416,3.062843,2.540201,3.684984,6.916265,6.576142,4.977784,6.675962
54.5,35,2.043096,6.072908,5.307465,4.532756,4.710599,5.527451,8.166178,4.204463,3.962535,6.544806,4.974138,1.895224,2.775157,1.603537,1.820672,3.714602,3.622119,4.02996,4.185549,5.402341,6.332629,4.886666,3.945725,4.022526,2.989084,2.397932,3.67172,6.869856,6.763412,4.896791,7.009164
54.5,35.5,2.358619,6.487174,5.706121,4.695559,4.816967,5.643692,8.817971,4.4955,3.904935,6.47897,4.850343,1.673569,2.830398,1.570505,1.790088,3.667341,3.588709,3.915385,4.155069,5.564347,6.492817,5.06517,4.08747,4.13791,2.886986,2.272097,3.58982,6.824525,7.046956,4.844393,7.285095
54.5,36,2.74549,6.903003,6.106925,4.868387,4.927944,5.774503,9.482584,4.827973,3.872326,6.415286,4.727631,1.484181,2.903845,1.559535,1.791211,3.621208,3.563739,3.803378,4.127675,5.727273,6.656422,5.25262,4.232613,4.254776,2.889751,2.325747,3.530194,6.781348,7.338771,4.810634,7.565689
54.5,36.5,2.98768,6.711338,6.057599,4.635676,4.733472,5.440922,9.289621,4.79045,3.621629,5.876511,4.171845,1.187735,2.782497,1.47591,1.672884,3.260448,3.211777,3.401222,3.864963,5.520728,6.397606,5.077596,4.099147,3.998725,2.722665,2.341509,3.089836,6.026631,7.071388,4.406679,7.32521
54.5,37,3.249066,6.523218,6.008702,4.40663,4.543333,5.113561,9.103325,4.778656,3.404433,5.34188,3.619072,1.013694,2.690655,1.429154,1.642256,2.901966,2.872187,3.003897,3.603901,5.315053,6.142439,4.909013,3.969755,3.74455,2.636763,2.431004,2.696819,5.27282,6.810045,4.017599,7.087914
54.5,37.5,3.340182,6.226301,6.007675,4.21679,4.313555,4.752987,8.806467,4.779121,3.201014,4.717495,2.880025,0.9311205,2.642169,1.411447,1.576419,2.555248,2.53297,2.510023,3.278868,5.024793,5.786528,4.662996,3.743828,3.470553,2.493951,2.48654,2.265449,4.558913,6.358663,3.52915,6.73524
54.5,38,3.389641,5.896696,6.023677,4.045017,4.074533,4.386091,8.475623,4.795379,3.0504,4.076982,2.116421,1.16057,2.651595,1.424696,1.50028,2.226214,2.230509,2.011193,2.935885,4.708034,5.402868,4.401702,3.489912,3.202031,2.363823,2.558477,1.934488,3.862298,5.84636,3.027633,6.344693
54.5,38.5,3.42413,5.645124,6.017588,3.884576,3.851159,4.110065,8.156331,4.79662,2.954792,3.549996,1.500869,1.56154,2.674928,1.497987,1.435932,1.977859,2.028222,1.6052,2.665872,4.439389,5.085079,4.23022,3.300581,2.950585,2.258092,2.613588,1.73193,3.227651,5.436359,2.678818,5.981877
54.5,39,3.441461,5.468781,5.988825,3.734368,3.638921,3.922603,7.845496,4.779366,2.887674,3.13762,1.149803,1.926209,2.683357,1.600619,1.376549,1.809693,1.911566,1.293166,2.47095,4.218868,4.831506,4.143165,3.174401,2.708157,2.162154,2.621443,1.603421,2.660037,5.124811,2.470463,5.646515
